day,pS25,pS50,pS75
156,1.0021185687925527,1.0914490724946218,1.1780379367617382
157,1.0026060952489275,1.092110465080493,1.1789223099938826
158,1.0035168448282075,1.0929488349450778,1.1794467146068046
159,1.0038612622693415,1.094229530840078,1.1810669919061736
160,1.003483325251315,1.0945642071953763,1.182027993201927
161,1.0033992099673827,1.0953128888166566,1.1830259671399022
162,1.0023796597135237,1.0957416930627017,1.1837959114583958
163,1.0026860943882103,1.096914590759192,1.1855582503647286
164,1.0029310019135345,1.0965587115409958,1.1870117390929695
165,1.0045098662816772,1.0979089968796099,1.18609252216477
166,1.0046978523238859,1.099098750564547,1.1874974146700106
167,1.004083291291823,1.0989963845618531,1.1885604930025744
168,1.0051092310702965,1.1000217154403642,1.1903616270778679
169,1.006672876986765,1.0999364386276775,1.1897242892155055
170,1.0055124520055696,1.0990581928995429,1.190364809269445
171,1.0050727956896732,1.099823781700501,1.1921722732751754
172,1.0068633115484313,1.1007826145711288,1.1932539105805982
173,1.005303380158702,1.100653957114537,1.1927162840428416
174,1.0065940577623982,1.1016425655180349,1.1934932280713275
175,1.0060126594720695,1.101057279700865,1.1950664549531196
176,1.0074638858207239,1.1031311204631122,1.1948528771099383
177,1.0079090430559179,1.102614632230281,1.1956237919580186
178,1.006463580873769,1.1043585849484732,1.1951661185864162
179,1.0071262700235841,1.1049979997300823,1.196243196241507
180,1.0063105907925933,1.1063004229613307,1.1972887279515305
181,1.0082609567568854,1.1071039713300366,1.197859426325268
182,1.0077149262788014,1.1072543169693954,1.1997560089200694
183,1.0092140369307205,1.1091432003995974,1.2005499185473418
184,1.0099446934442737,1.1101795917181323,1.2016851774796156
185,1.0097854003346574,1.1104306085454083,1.2027645960458189
186,1.0094939952822863,1.1096213788063674,1.2030757223672846
187,1.0101188176271036,1.1108258174238481,1.2050507956332863
188,1.008752296415187,1.111988347812758,1.2060920463723346
189,1.0103703770913721,1.1130938030988298,1.2070671721251878
190,1.009622249173138,1.112797926589682,1.2076526758948183
191,1.0115668620247786,1.1134866140767938,1.2082188213661738
192,1.01042930458765,1.113347402015481,1.2087255554347003
193,1.012052738593027,1.1136859633856857,1.2109262122661673
194,1.011613134012506,1.1147963482527805,1.211316017870312
195,1.0117929208794834,1.1156598083878686,1.21124369255357
196,1.010964520315168,1.11644669170302,1.2119327114230622
197,1.0109179172255784,1.115253366591232,1.2141145373470368
198,1.0104868118013086,1.1161433780182308,1.2148981051751997
199,1.0111009188196216,1.1162200556032345,1.2159985776277091
200,1.0106541612505575,1.1169800160682721,1.215543777817297
201,1.0108631643276493,1.11745565985025,1.2182995407727761
202,1.0109037663509766,1.1182829123279339,1.218603728827485
203,1.011028198506142,1.1190212008530178,1.2199704790482446
204,1.0119036628014446,1.119335583859598,1.2202305313572865
205,1.0117857801211698,1.1210330105588677,1.2219434311642479
206,1.0113478515259429,1.1211901609674952,1.2237518034146115
207,1.014640521364294,1.1207518635091351,1.224196598951952
208,1.01493832710078,1.1218181071636493,1.2248194849256449
209,1.0145237352146372,1.1210963307516657,1.2248534164961877
210,1.0153558744853661,1.122158926287673,1.2258611009938654
211,1.0155589458615544,1.122235091425217,1.2265944542992424
212,1.0142396092934995,1.1231536711972572,1.2275219966571238
213,1.0137763235626926,1.1237131058814283,1.2292148068945927
214,1.0153983207466588,1.1249771786513891,1.2303212040254663
215,1.0160356414641194,1.1259766574419965,1.2321036610028322
216,1.0163105514554545,1.1267859300156648,1.2315646680201011
217,1.0175988493044468,1.1278316301174205,1.2335254479367936
218,1.0180493891054763,1.1274724577142605,1.2342478564251387
219,1.0170372958350973,1.1279188885260458,1.2352061749131868
220,1.0180833510001768,1.1286787844582478,1.2348683712395683
221,1.0172872969972246,1.12887341446255,1.2374779087442929
222,1.0184547073503012,1.1299737926949478,1.2401629775461727
223,1.018062975348094,1.1295184160401381,1.2404735802323361
224,1.0186823584982256,1.1308673487887868,1.2405939685441572
225,1.018373389687456,1.1314666666739384,1.2417066586893328
226,1.017757418476264,1.1327354764979396,1.2432862112112006
227,1.018970613348307,1.1336623122928169,1.2444466338220743
228,1.0186817594105526,1.1342869476516428,1.2455225485690842
229,1.0195721916860068,1.1348136186444309,1.2463206868216599
230,1.0193201060058807,1.1349519227482716,1.2477316670778154
231,1.019895262679589,1.1356615725229369,1.2511402217746788
232,1.0214141922852518,1.135481873717946,1.2515857316920287
233,1.0217230548379006,1.1359913451477754,1.2515121547473131
234,1.0211015302144513,1.1382097471939472,1.2525302670685114
235,1.0209347171257956,1.1378085153296675,1.2521024721810514
236,1.0206397722798224,1.1377859232734304,1.2528933740733412
237,1.0211843279856532,1.1392508158615646,1.2556729679556144
238,1.0210660493585175,1.1396034570524236,1.2556313357733258
239,1.0211273535343284,1.139827260211152,1.2564024402167777
240,1.0218454844106646,1.1395289216312023,1.2579204498401748
241,1.0207382864421577,1.1403868126739263,1.2588632064989933
242,1.0209681457173407,1.1397954320201604,1.2587774449570548
243,1.0228989386037877,1.1403723391756686,1.2610399166840036
244,1.0221081459239392,1.1419613497228764,1.2607632829710567
245,1.0232807872694532,1.144612207149351,1.2626300287156165
246,1.0235664208890713,1.1443108039226746,1.2617126346977101
247,1.0220822344748537,1.1436525730402587,1.264567788218544
248,1.0231762113245961,1.143270859067551,1.263853305334399
249,1.0226690465964423,1.1445762205130965,1.2650315824576275
250,1.0241881450118977,1.144330321708817,1.2654047384139928
251,1.0244540504597577,1.1447734618199314,1.2666172151635564
252,1.0259039244438872,1.145358361943028,1.266149268701853
253,1.02478790739566,1.1453187482919014,1.2669575581774537
254,1.0247201676801978,1.1464747761977085,1.269226218765807
255,1.0262823740937002,1.1480259064922502,1.2699228508683555
256,1.0269771457449062,1.1484510887703383,1.271505305433461
257,1.0268906943636305,1.1488789661847565,1.2709077887420086
258,1.027218281958277,1.1491293088670613,1.2710496446987203
259,1.0283143851452132,1.149166772978559,1.2723847654817497
260,1.028319490279205,1.149230043790992,1.2747261577599243
261,1.0283907658435005,1.1503442958630397,1.276644996458321
262,1.0290547124111296,1.1517468888258744,1.2783028066436906
263,1.0312085959685933,1.1523542810197978,1.2789835269880132
264,1.0319387822695838,1.153170111800351,1.281028712413512
265,1.0308171914952322,1.1528593683986643,1.2804638123465526
266,1.0313736455547502,1.1528065047979668,1.2808316517995293
267,1.0319495630441158,1.1541254804015624,1.2832179834037352
268,1.0303866825038674,1.1548407187229757,1.2846901367401726
269,1.032601082697731,1.1552224598443968,1.2844996779596203
270,1.0312788652011304,1.1570362919135155,1.2863906388421733
271,1.0316956190730744,1.1570545830692083,1.2863612292778919
272,1.0327107972869132,1.1562434505100978,1.285384060524872
273,1.0335547497018027,1.1572164770080928,1.287102307131465
274,1.0339868813364133,1.1575541786483377,1.2886623175543386
275,1.0333448917976042,1.1608798848998725,1.288001715608348
276,1.0346763361767486,1.1608765761504172,1.2873838238453559
277,1.0358699204615456,1.1623303611740268,1.2888914832195795
278,1.036530368099536,1.1630518066180267,1.2902232297284053
